currency,COP,label.colPesos,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
currency,USD,label.dollar,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
currency,EUR,label.euro,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/1/2012,1790.74,0.096,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/2/2012,1787.51,-0.1807,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/3/2012,1790.97,0.1932,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/4/2012,1790.97,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/5/2012,1786.06,-0.2749,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/6/2012,1786.06,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/7/2012,1785.29,-0.0431,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/8/2012,1785.29,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/9/2012,1788.03,0.1532,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/10/2012,1788.08,0.0028,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/11/2012,1791.61,0.197,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/12/2012,1791.61,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/13/2012,1791.61,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/14/2012,1792.86,0.0697,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/15/2012,1800.81,0.4415,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/16/2012,1817.18,0.9008,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/17/2012,1825.52,0.4569,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/18/2012,1825.52,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/21/2012,1822.59,-0.1608,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/22/2012,1815.8,-0.3739,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/23/2012,1812.88,-0.1611,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/24/2012,1808.33,-0.2516,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/25/2012,1821.44,0.7198,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/26/2012,1814.83,-0.3642,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/27/2012,1814.83,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/28/2012,1821.44,0.3629,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/29/2012,1828.99,0.4128,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/30/2012,1833.14,0.2264,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,8/31/2012,1830.5,-0.1442,TRUE,,,,,,,,,,,,,,,,,,,,,
